feature,weekend_shap,weekday_shap,difference
hist_avg_stop_dow,47.50314340061436,45.17977581459496,2.323367586019401
month,27.70864119468833,25.61006671511897,2.0985744795693613
hour,24.025397551302984,18.68385254612396,5.341545005179025
hist_std_stop_hour_dow,3.6325411966173715,2.9512358998665964,0.6813052967507751
hist_avg_stop_hour,3.1908145648500095,2.6692522994577277,0.5215622653922818
hist_avg_stop_hour_dow,2.7793508688088395,2.1827853641201096,0.5965655046887299
dow,1.9040555884580657,1.324765996369615,0.5792895920884507
is_night,0.9272479441269641,0.8400469898937399,0.08720095423322416
is_rush_hour,0.7840196971583431,0.6367204711156395,0.14729922604270362
is_holiday,0.6020217261423924,0.9114576654621922,-0.30943593931979985
is_match_day,0.5811118578629729,0.1536659042879139,0.427445953575059
is_weekend,0.5586161233841681,0.2538080184115579,0.3048081049726102
