feature,importance
hist_avg_stop_dow,0.5153253236172387
month,0.1949411666463189
hour,0.1297609517885346
hist_std_stop_hour_dow,0.04643332389538462
hist_avg_stop_hour_dow,0.03740285333814943
hist_avg_stop_hour,0.03353161459082908
dow,0.019725468866316695
is_night,0.006139678184248253
is_holiday,0.005554661850760134
is_rush_hour,0.005224300504049844
is_match_day,0.003028401466666602
is_weekend,0.002932255251503176
