Period,Match Day Mean,Non-Match Mean,Difference,Pct Change,t-statistic,p-value,Cohen's d,Effect Size,N (Match),N (Non-Match)
Evening (17-22),220.3244289585753,91.34500872262066,128.97942023595465,141.20029330514936,61.893211768089635,0.0,1.2279337579467147,Large,2583,154770
Weekend,256.5077062556664,108.18932777232581,148.31837848334058,137.09150573101127,40.252416496929065,0.0,1.228293879203126,Large,1103,40760
Weekday,193.3581081081081,85.32295412683098,108.03515398127712,126.61909692048974,42.16979277432206,0.0,1.103243372009424,Large,1480,114010
