feature,match_day_shap,non_match_day_shap,difference
hist_avg_stop_dow,40.51042865678185,46.02170061808531,-5.511271961303464
month,24.91877230209325,26.208235302882635,-1.289463000789386
hour,22.551695543045255,19.94738133218216,2.6043142108630946
hist_avg_stop_hour,3.5635650263591923,2.768847806243862,0.7947172201153303
hist_std_stop_hour_dow,2.699245893680352,3.1467006768894996,-0.4474547832091478
is_match_day,2.4615255980003834,0.16280317363834995,2.2987224243620332
hist_avg_stop_hour_dow,2.373403830381819,2.335009932837868,0.03839389754395084
dow,1.52036120286323,1.4720991822201404,0.04826202064308971
is_rush_hour,0.8551535594405105,0.6664193669657682,0.18873419247474232
is_night,0.6709347580808178,0.8713637099689917,-0.2004289518881739
is_weekend,0.5641370774416281,0.32178501891951916,0.24235205852210895
is_holiday,0.37504126371943375,0.8526374241778545,-0.47759616045842074
