feature,rush_hour_shap,non_rush_hour_shap,difference
hist_avg_stop_dow,44.63656380955351,46.69909240564456,-2.062528596091056
month,26.04708728630475,26.235555958765232,-0.18846867246048404
hour,25.023370127965812,16.067776318388784,8.955593809577028
hist_std_stop_hour_dow,2.759137946649603,3.4231717368638535,-0.6640337902142504
hist_avg_stop_hour,2.657604905306546,2.921522700653822,-0.2639177953472762
hist_avg_stop_hour_dow,2.165333761563238,2.474657773777248,-0.30932401221400996
dow,1.4171064132195295,1.5202044238854242,-0.10309801066589475
is_holiday,0.8398665354205688,0.8249868561734844,0.014879679247084332
is_rush_hour,0.813110459476365,0.5633148131916922,0.24979564628467277
is_night,0.4460620333568195,1.1978360455031976,-0.7517740121463781
is_weekend,0.27409689695051703,0.37942471742700495,-0.10532782047648792
is_match_day,0.2625521236768285,0.26506987933287635,-0.0025177556560478376
