horizon,feature_set,MAE,RMSE,R²,samples
30min,base,38.481843188401584,319.1387013934711,0.6639283716295294,12830
30min,extended,36.81808152128479,310.1181544924219,0.6826581969963729,12830
1h,base,55.20121431039242,444.9655340775608,0.132799029887391,12821
1h,extended,53.813813187466664,427.46663285032275,0.19966566342445669,12821
3h,base,72.73335528126259,603.3800697611772,0.03172463667727754,12784
3h,extended,72.73486800706995,603.3737820829303,0.031744816900397876,12784
next_day,base,75.73226970286129,575.8764128772436,-0.022230726950583035,12425
next_day,extended,75.75420350678839,575.8873668761426,-0.022269615922256625,12425
