fetch_time,station,stop_id,line,category,train_number,operator,arrival_time,arrival_platform,previous_stops,departure_time,departure_platform,next_stops
2026-01-21 07:40:02.143150,Berlin Hbf,1375556554873415977-2601210502-22,RE5,RE,3505,800158,2026-01-21 08:13:00,3,Stralsund Hbf|Zarrendorf|Elmenhorst|Wittenhagen|Grimmen|Rakow|Demmin|Utzedel|Sternfeld|Gnevkow|Altentreptow|Neubrandenburg|Burg Stargard(Meckl)|Cammin(Meckl)|Blankensee(Meckl)|Neustrelitz Hbf|Fürstenberg(Havel)|Gransee|Löwenberg(Mark)|Oranienburg|Berlin Gesundbrunnen,2026-01-21 08:16:00,3,Berlin Potsdamer Platz|Berlin Südkreuz
2026-01-21 07:40:02.143158,Berlin Hbf,-1969128958741569889-2601210834-3,RE5,RE,4354,800158,2026-01-21 08:43:00,5,Berlin Südkreuz|Berlin Potsdamer Platz,2026-01-21 08:46:00,5,Berlin Gesundbrunnen|Oranienburg|Gransee|Dannenwalde(Gransee)|Fürstenberg(Havel)|Neustrelitz Hbf|Kratzeburg|Waren(Müritz)|Langhagen|Rostock Hbf
2026-01-21 07:45:01.916011,Berlin Hbf,6481218405205876469-2601210734-3,RE5,RE,3506,800158,2026-01-21 07:43:00,6,Berlin Südkreuz|Berlin Potsdamer Platz,2026-01-21 07:46:00,6,Berlin Gesundbrunnen|Oranienburg|Löwenberg(Mark)|Gransee|Fürstenberg(Havel)|Neustrelitz Hbf|Blankensee(Meckl)|Cammin(Meckl)|Burg Stargard(Meckl)|Neubrandenburg|Altentreptow|Gnevkow|Sternfeld|Utzedel|Demmin|Rakow|Grimmen|Wittenhagen|Elmenhorst|Zarrendorf|Stralsund Hbf
2026-01-21 07:45:01.916041,Berlin Hbf,3657692481218452593-2601210434-12,RE5,RE,4353,800158,2026-01-21 07:11:00,4,Rostock Hbf|Güstrow|Langhagen|Waren(Müritz)|Kratzeburg|Neustrelitz Hbf|Fürstenberg(Havel)|Dannenwalde(Gransee)|Gransee|Oranienburg|Berlin Gesundbrunnen,2026-01-21 07:14:00,4,Berlin Potsdamer Platz|Berlin Südkreuz
2026-01-21 07:45:02.058485,Berlin Hbf,1375556554873415977-2601210502-22,RE5,RE,3505,800158,2026-01-21 08:13:00,3,Stralsund Hbf|Zarrendorf|Elmenhorst|Wittenhagen|Grimmen|Rakow|Demmin|Utzedel|Sternfeld|Gnevkow|Altentreptow|Neubrandenburg|Burg Stargard(Meckl)|Cammin(Meckl)|Blankensee(Meckl)|Neustrelitz Hbf|Fürstenberg(Havel)|Gransee|Löwenberg(Mark)|Oranienburg|Berlin Gesundbrunnen,2026-01-21 08:16:00,3,Berlin Potsdamer Platz|Berlin Südkreuz
2026-01-21 07:45:02.058489,Berlin Hbf,-1969128958741569889-2601210834-3,RE5,RE,4354,800158,2026-01-21 08:43:00,5,Berlin Südkreuz|Berlin Potsdamer Platz,2026-01-21 08:46:00,5,Berlin Gesundbrunnen|Oranienburg|Gransee|Dannenwalde(Gransee)|Fürstenberg(Havel)|Neustrelitz Hbf|Kratzeburg|Waren(Müritz)|Langhagen|Rostock Hbf
2026-01-21 07:50:01.647429,Berlin Hbf,6481218405205876469-2601210734-3,RE5,RE,3506,800158,2026-01-21 07:43:00,6,Berlin Südkreuz|Berlin Potsdamer Platz,2026-01-21 07:46:00,6,Berlin Gesundbrunnen|Oranienburg|Löwenberg(Mark)|Gransee|Fürstenberg(Havel)|Neustrelitz Hbf|Blankensee(Meckl)|Cammin(Meckl)|Burg Stargard(Meckl)|Neubrandenburg|Altentreptow|Gnevkow|Sternfeld|Utzedel|Demmin|Rakow|Grimmen|Wittenhagen|Elmenhorst|Zarrendorf|Stralsund Hbf
2026-01-21 07:50:01.647445,Berlin Hbf,3657692481218452593-2601210434-12,RE5,RE,4353,800158,2026-01-21 07:11:00,4,Rostock Hbf|Güstrow|Langhagen|Waren(Müritz)|Kratzeburg|Neustrelitz Hbf|Fürstenberg(Havel)|Dannenwalde(Gransee)|Gransee|Oranienburg|Berlin Gesundbrunnen,2026-01-21 07:14:00,4,Berlin Potsdamer Platz|Berlin Südkreuz
2026-01-21 07:50:01.763627,Berlin Hbf,1375556554873415977-2601210502-22,RE5,RE,3505,800158,2026-01-21 08:13:00,3,Stralsund Hbf|Zarrendorf|Elmenhorst|Wittenhagen|Grimmen|Rakow|Demmin|Utzedel|Sternfeld|Gnevkow|Altentreptow|Neubrandenburg|Burg Stargard(Meckl)|Cammin(Meckl)|Blankensee(Meckl)|Neustrelitz Hbf|Fürstenberg(Havel)|Gransee|Löwenberg(Mark)|Oranienburg|Berlin Gesundbrunnen,2026-01-21 08:16:00,3,Berlin Potsdamer Platz|Berlin Südkreuz
2026-01-21 07:50:01.763635,Berlin Hbf,-1969128958741569889-2601210834-3,RE5,RE,4354,800158,2026-01-21 08:43:00,5,Berlin Südkreuz|Berlin Potsdamer Platz,2026-01-21 08:46:00,5,Berlin Gesundbrunnen|Oranienburg|Gransee|Dannenwalde(Gransee)|Fürstenberg(Havel)|Neustrelitz Hbf|Kratzeburg|Waren(Müritz)|Langhagen|Rostock Hbf
2026-01-21 07:55:02.495312,Berlin Hbf,6481218405205876469-2601210734-3,RE5,RE,3506,800158,2026-01-21 07:43:00,6,Berlin Südkreuz|Berlin Potsdamer Platz,2026-01-21 07:46:00,6,Berlin Gesundbrunnen|Oranienburg|Löwenberg(Mark)|Gransee|Fürstenberg(Havel)|Neustrelitz Hbf|Blankensee(Meckl)|Cammin(Meckl)|Burg Stargard(Meckl)|Neubrandenburg|Altentreptow|Gnevkow|Sternfeld|Utzedel|Demmin|Rakow|Grimmen|Wittenhagen|Elmenhorst|Zarrendorf|Stralsund Hbf
2026-01-21 07:55:02.495325,Berlin Hbf,3657692481218452593-2601210434-12,RE5,RE,4353,800158,2026-01-21 07:11:00,4,Rostock Hbf|Güstrow|Langhagen|Waren(Müritz)|Kratzeburg|Neustrelitz Hbf|Fürstenberg(Havel)|Dannenwalde(Gransee)|Gransee|Oranienburg|Berlin Gesundbrunnen,2026-01-21 07:14:00,4,Berlin Potsdamer Platz|Berlin Südkreuz
2026-01-21 07:55:02.705048,Berlin Hbf,1375556554873415977-2601210502-22,RE5,RE,3505,800158,2026-01-21 08:13:00,3,Stralsund Hbf|Zarrendorf|Elmenhorst|Wittenhagen|Grimmen|Rakow|Demmin|Utzedel|Sternfeld|Gnevkow|Altentreptow|Neubrandenburg|Burg Stargard(Meckl)|Cammin(Meckl)|Blankensee(Meckl)|Neustrelitz Hbf|Fürstenberg(Havel)|Gransee|Löwenberg(Mark)|Oranienburg|Berlin Gesundbrunnen,2026-01-21 08:16:00,3,Berlin Potsdamer Platz|Berlin Südkreuz
2026-01-21 07:55:02.705057,Berlin Hbf,-1969128958741569889-2601210834-3,RE5,RE,4354,800158,2026-01-21 08:43:00,5,Berlin Südkreuz|Berlin Potsdamer Platz,2026-01-21 08:46:00,5,Berlin Gesundbrunnen|Oranienburg|Gransee|Dannenwalde(Gransee)|Fürstenberg(Havel)|Neustrelitz Hbf|Kratzeburg|Waren(Müritz)|Langhagen|Rostock Hbf
2026-01-21 08:00:02.245784,Berlin Hbf,1375556554873415977-2601210502-22,RE5,RE,3505,800158,2026-01-21 08:13:00,3,Stralsund Hbf|Zarrendorf|Elmenhorst|Wittenhagen|Grimmen|Rakow|Demmin|Utzedel|Sternfeld|Gnevkow|Altentreptow|Neubrandenburg|Burg Stargard(Meckl)|Cammin(Meckl)|Blankensee(Meckl)|Neustrelitz Hbf|Fürstenberg(Havel)|Gransee|Löwenberg(Mark)|Oranienburg|Berlin Gesundbrunnen,2026-01-21 08:16:00,3,Berlin Potsdamer Platz|Berlin Südkreuz
2026-01-21 08:00:02.245790,Berlin Hbf,-1969128958741569889-2601210834-3,RE5,RE,4354,800158,2026-01-21 08:43:00,5,Berlin Südkreuz|Berlin Potsdamer Platz,2026-01-21 08:46:00,5,Berlin Gesundbrunnen|Oranienburg|Gransee|Dannenwalde(Gransee)|Fürstenberg(Havel)|Neustrelitz Hbf|Kratzeburg|Waren(Müritz)|Langhagen|Rostock Hbf
2026-01-21 08:00:02.510335,Berlin Hbf,4623933687143888319-2601210637-11,RE5,RE,4355,800158,2026-01-21 09:11:00,4,Rostock Hbf|Langhagen|Waren(Müritz)|Kratzeburg|Neustrelitz Hbf|Fürstenberg(Havel)|Dannenwalde(Gransee)|Gransee|Oranienburg|Berlin Gesundbrunnen,2026-01-21 09:14:00,4,Berlin Potsdamer Platz|Berlin Südkreuz
