fetch_time,station,stop_id,line,category,train_number,operator,arrival_time,arrival_platform,previous_stops,departure_time,departure_platform,next_stops
2026-01-20 15:00:01.960862,Berlin Hbf,5784216260643262097-2601201534-3,RE5,RE,3514,800158,2026-01-20 15:43:00,6,Berlin Südkreuz|Berlin Potsdamer Platz,2026-01-20 15:46:00,6,Berlin Gesundbrunnen|Oranienburg|Löwenberg(Mark)|Gransee|Fürstenberg(Havel)|Neustrelitz Hbf|Blankensee(Meckl)|Cammin(Meckl)|Burg Stargard(Meckl)|Neubrandenburg|Altentreptow|Gnevkow|Sternfeld|Utzedel|Demmin|Rakow|Grimmen|Wittenhagen|Elmenhorst|Zarrendorf|Stralsund Hbf
2026-01-20 15:00:01.960869,Berlin Hbf,5428913058894445078-2601201237-11,RE5,RE,4361,800158,2026-01-20 15:11:00,4,Rostock Hbf|Langhagen|Waren(Müritz)|Kratzeburg|Neustrelitz Hbf|Fürstenberg(Havel)|Dannenwalde(Gransee)|Gransee|Oranienburg|Berlin Gesundbrunnen,2026-01-20 15:14:00,4,Berlin Potsdamer Platz|Berlin Südkreuz
2026-01-20 15:00:02.111021,Berlin Hbf,-42808539263809878-2601201634-3,RE5,RE,4362,800158,2026-01-20 16:43:00,5,Berlin Südkreuz|Berlin Potsdamer Platz,2026-01-20 16:46:00,5,Berlin Gesundbrunnen|Oranienburg|Gransee|Dannenwalde(Gransee)|Fürstenberg(Havel)|Neustrelitz Hbf|Kratzeburg|Waren(Müritz)|Langhagen|Rostock Hbf
2026-01-20 15:00:02.111044,Berlin Hbf,-6523479487059033919-2601201302-22,RE5,RE,3513,800158,2026-01-20 16:12:00,3,Stralsund Hbf|Zarrendorf|Elmenhorst|Wittenhagen|Grimmen|Rakow|Demmin|Utzedel|Sternfeld|Gnevkow|Altentreptow|Neubrandenburg|Burg Stargard(Meckl)|Cammin(Meckl)|Blankensee(Meckl)|Neustrelitz Hbf|Fürstenberg(Havel)|Gransee|Löwenberg(Mark)|Oranienburg|Berlin Gesundbrunnen,2026-01-20 16:16:00,3,Berlin Potsdamer Platz|Berlin Südkreuz
2026-01-20 16:00:10.330394,Berlin Hbf,-42808539263809878-2601201634-3,RE5,RE,4362,800158,2026-01-20 16:43:00,5,Berlin Südkreuz|Berlin Potsdamer Platz,2026-01-20 16:46:00,5,Berlin Gesundbrunnen|Oranienburg|Gransee|Dannenwalde(Gransee)|Fürstenberg(Havel)|Neustrelitz Hbf|Kratzeburg|Waren(Müritz)|Langhagen|Rostock Hbf
2026-01-20 16:00:10.330405,Berlin Hbf,-6523479487059033919-2601201302-22,RE5,RE,3513,800158,2026-01-20 16:12:00,3,Stralsund Hbf|Zarrendorf|Elmenhorst|Wittenhagen|Grimmen|Rakow|Demmin|Utzedel|Sternfeld|Gnevkow|Altentreptow|Neubrandenburg|Burg Stargard(Meckl)|Cammin(Meckl)|Blankensee(Meckl)|Neustrelitz Hbf|Fürstenberg(Havel)|Gransee|Löwenberg(Mark)|Oranienburg|Berlin Gesundbrunnen,2026-01-20 16:16:00,3,Berlin Potsdamer Platz|Berlin Südkreuz
2026-01-20 16:00:10.434707,Berlin Hbf,5833177948138978538-2601201736-3,RE5,RE,3516,800158,2026-01-20 17:43:00,6,Berlin Südkreuz|Berlin Potsdamer Platz,2026-01-20 17:46:00,6,Berlin Gesundbrunnen|Oranienburg|Löwenberg(Mark)|Gransee|Fürstenberg(Havel)|Neustrelitz Hbf|Blankensee(Meckl)|Cammin(Meckl)|Burg Stargard(Meckl)|Neubrandenburg|Altentreptow|Gnevkow|Sternfeld|Utzedel|Demmin|Rakow|Grimmen|Wittenhagen|Elmenhorst|Zarrendorf|Stralsund Hbf
2026-01-20 16:00:10.434712,Berlin Hbf,7380714817348894342-2601201437-11,RE5,RE,4363,800158,2026-01-20 17:11:00,4,Rostock Hbf|Langhagen|Waren(Müritz)|Kratzeburg|Neustrelitz Hbf|Fürstenberg(Havel)|Dannenwalde(Gransee)|Gransee|Oranienburg|Berlin Gesundbrunnen,2026-01-20 17:14:00,4,Berlin Potsdamer Platz|Berlin Südkreuz
2026-01-20 15:05:01.122205,Berlin Hbf,5784216260643262097-2601201534-3,RE5,RE,3514,800158,2026-01-20 15:43:00,6,Berlin Südkreuz|Berlin Potsdamer Platz,2026-01-20 15:46:00,6,Berlin Gesundbrunnen|Oranienburg|Löwenberg(Mark)|Gransee|Fürstenberg(Havel)|Neustrelitz Hbf|Blankensee(Meckl)|Cammin(Meckl)|Burg Stargard(Meckl)|Neubrandenburg|Altentreptow|Gnevkow|Sternfeld|Utzedel|Demmin|Rakow|Grimmen|Wittenhagen|Elmenhorst|Zarrendorf|Stralsund Hbf
2026-01-20 15:05:01.122211,Berlin Hbf,5428913058894445078-2601201237-11,RE5,RE,4361,800158,2026-01-20 15:11:00,4,Rostock Hbf|Langhagen|Waren(Müritz)|Kratzeburg|Neustrelitz Hbf|Fürstenberg(Havel)|Dannenwalde(Gransee)|Gransee|Oranienburg|Berlin Gesundbrunnen,2026-01-20 15:14:00,4,Berlin Potsdamer Platz|Berlin Südkreuz
