condition,treatment_mean,control_mean,diff,pct_change,p_value,cohens_d,effect_size,significant
rain,95.83205226748655,93.69422737070066,2.1378248967858866,2.2817039606160527,3.2543959686508855e-17,0.019913317161606183,negligible,True
heavy_rain,106.80884991843394,92.24075394650913,14.568095971924805,15.793556913436458,1.83724754549817e-78,0.13585622271446263,negligible,True
cold_drop,88.76288659793815,94.56958966107453,-5.806703063136382,-6.140137737666911,0.12570809234839894,-0.05408636294044306,negligible,False
snow,63.39814860650463,99.07420494699646,-35.67605634049183,-36.00942986075751,0.0,-0.3343660816690431,small,True
